##Iter	TotalE	TotalM
635 -84 52 2704
636 -76 50 2500
637 -76 50 2500
638 -76 50 2500
639 -76 50 2500
640 -80 52 2704
641 -72 50 2500
642 -72 50 2500
643 -72 50 2500
644 -72 50 2500
645 -72 50 2500
646 -72 50 2500
647 -72 50 2500
648 -80 52 2704
649 -80 52 2704
650 -80 52 2704
651 -76 50 2500
652 -76 50 2500
653 -76 50 2500
654 -68 48 2304
655 -76 50 2500
656 -76 50 2500
657 -72 48 2304
658 -64 46 2116
659 -64 46 2116
660 -64 46 2116
661 -72 48 2304
662 -64 46 2116
663 -64 46 2116
664 -72 48 2304
665 -72 48 2304
666 -68 46 2116
667 -68 46 2116
668 -68 46 2116
669 -68 46 2116
670 -64 44 1936
671 -64 44 1936
672 -64 44 1936
673 -64 44 1936
674 -64 44 1936
675 -64 44 1936
676 -60 42 1764
677 -60 42 1764
678 -60 40 1600
679 -60 40 1600
680 -60 40 1600
681 -60 40 1600
682 -64 42 1764
683 -68 44 1936
684 -68 44 1936
685 -68 44 1936
686 -68 44 1936
687 -68 44 1936
688 -68 44 1936
689 -68 44 1936
690 -68 44 1936
691 -68 44 1936
692 -68 44 1936
693 -68 44 1936
694 -76 46 2116
695 -76 46 2116
696 -76 46 2116
697 -76 46 2116
698 -76 46 2116
699 -76 46 2116
700 -80 48 2304
701 -80 48 2304
702 -80 48 2304
703 -80 48 2304
704 -80 46 2116
705 -80 46 2116
706 -80 46 2116
707 -80 44 1936
708 -80 44 1936
709 -80 44 1936
710 -80 44 1936
711 -80 44 1936
712 -80 44 1936
713 -80 44 1936
714 -80 44 1936
715 -80 44 1936
716 -80 46 2116
717 -80 46 2116
718 -84 48 2304
719 -84 48 2304
720 -84 48 2304
721 -84 48 2304
722 -84 48 2304
723 -84 48 2304
724 -84 48 2304
725 -80 46 2116
726 -76 44 1936
727 -76 44 1936
728 -76 44 1936
729 -76 44 1936
730 -76 44 1936
731 -76 44 1936
732 -76 44 1936
733 -76 44 1936
734 -80 46 2116
735 -80 46 2116
736 -80 46 2116
737 -80 46 2116
738 -80 46 2116
739 -76 44 1936
740 -76 44 1936
741 -76 44 1936
742 -76 44 1936
743 -68 42 1764
744 -68 42 1764
745 -68 44 1936
746 -68 44 1936
747 -68 44 1936
748 -68 44 1936
749 -68 44 1936
750 -68 44 1936
751 -68 44 1936
752 -68 42 1764
753 -68 42 1764
754 -68 42 1764
755 -64 40 1600
756 -64 40 1600
757 -64 40 1600
758 -64 40 1600
759 -64 40 1600
760 -64 40 1600
761 -64 42 1764
762 -64 42 1764
763 -56 40 1600
764 -56 40 1600
765 -56 40 1600
766 -56 42 1764
767 -56 40 1600
768 -56 38 1444
769 -56 40 1600
770 -56 42 1764
771 -56 42 1764
772 -56 42 1764
773 -56 42 1764
774 -56 42 1764
775 -56 42 1764
776 -60 44 1936
777 -60 44 1936
778 -60 44 1936
779 -60 44 1936
780 -60 42 1764
781 -60 42 1764
782 -60 42 1764
783 -60 42 1764
784 -60 42 1764
785 -60 42 1764
786 -60 42 1764
787 -60 42 1764
788 -64 44 1936
789 -64 44 1936
790 -64 44 1936
791 -72 46 2116
792 -72 46 2116
793 -72 46 2116
794 -72 46 2116
795 -72 48 2304
796 -72 48 2304
797 -72 48 2304
798 -72 48 2304
799 -72 48 2304
800 -72 48 2304
801 -68 46 2116
802 -68 46 2116
803 -68 48 2304
804 -68 48 2304
805 -72 50 2500
806 -72 50 2500
807 -72 50 2500
808 -72 50 2500
809 -72 50 2500
810 -80 52 2704
811 -80 52 2704
812 -80 52 2704
813 -80 52 2704
814 -80 52 2704
815 -80 52 2704
816 -80 52 2704
817 -80 52 2704
818 -80 52 2704
819 -80 52 2704
820 -80 52 2704
821 -80 52 2704
822 -80 52 2704
823 -80 52 2704
824 -88 54 2916
825 -88 54 2916
826 -88 54 2916
827 -88 54 2916
828 -88 54 2916
829 -88 54 2916
830 -88 54 2916
831 -88 54 2916
832 -88 54 2916
833 -88 54 2916
834 -84 52 2704
835 -84 52 2704
836 -84 52 2704
837 -80 50 2500
838 -80 50 2500
839 -80 50 2500
840 -80 50 2500
841 -80 50 2500
842 -80 50 2500
843 -80 50 2500
844 -80 48 2304
845 -76 46 2116
846 -76 46 2116
847 -76 46 2116
848 -76 46 2116
849 -76 46 2116
850 -76 46 2116
851 -76 46 2116
852 -76 46 2116
853 -76 48 2304
854 -76 48 2304
855 -76 48 2304
856 -76 48 2304
857 -76 46 2116
858 -76 46 2116
859 -76 46 2116
860 -76 46 2116
861 -76 46 2116
862 -76 46 2116
863 -76 46 2116
864 -76 46 2116
865 -76 46 2116
866 -76 46 2116
867 -76 46 2116
868 -76 46 2116
869 -76 46 2116
870 -80 48 2304
871 -76 46 2116
872 -80 48 2304
873 -80 48 2304
874 -80 48 2304
875 -80 48 2304
876 -80 48 2304
877 -76 46 2116
878 -76 48 2304
879 -72 46 2116
880 -72 46 2116
881 -76 48 2304
882 -76 48 2304
883 -76 48 2304
884 -76 46 2116
885 -76 46 2116
886 -76 44 1936
887 -76 42 1764
888 -76 42 1764
889 -76 40 1600
890 -76 42 1764
891 -76 42 1764
892 -76 42 1764
893 -76 42 1764
894 -80 44 1936
895 -80 44 1936
896 -80 44 1936
897 -80 44 1936
898 -80 44 1936
899 -80 44 1936
900 -80 44 1936
901 -80 44 1936
902 -80 44 1936
903 -80 44 1936
904 -80 44 1936
905 -80 46 2116
906 -84 48 2304
907 -84 48 2304
908 -80 46 2116
909 -80 46 2116
910 -80 46 2116
911 -80 46 2116
912 -84 48 2304
913 -84 48 2304
914 -84 48 2304
915 -84 48 2304
916 -76 46 2116
917 -72 44 1936
918 -72 46 2116
919 -80 48 2304
920 -80 48 2304
921 -84 50 2500
922 -88 52 2704
923 -88 52 2704
924 -88 52 2704
925 -88 52 2704
926 -84 50 2500
